2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).__init__(33) | Cache instruments map exist
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1850-C.none.1.100ms', 'data': {'timestamp': 1690204008189, 'instrument_name': 'ETH-26JUL23-1850-C', 'change_id': 34499492605, 'bids': [[0.0095, 70.0]], 'asks': [[0.0105, 621.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1850-P.none.1.100ms'], 'usIn': 1690204008662984, 'usOut': 1690204008663071, 'usDiff': 87, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1850-P.none.1.100ms', 'data': {'timestamp': 1690204008188, 'instrument_name': 'ETH-26JUL23-1850-P', 'change_id': 34499492927, 'bids': [[0.008, 911.0]], 'asks': [[0.009, 99.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1875-C.none.1.100ms'], 'usIn': 1690204008717319, 'usOut': 1690204008717405, 'usDiff': 86, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1875-C.none.1.100ms', 'data': {'timestamp': 1690204008551, 'instrument_name': 'ETH-26JUL23-1875-C', 'change_id': 34499493037, 'bids': [[0.004, 203.0]], 'asks': [[0.0045, 83.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1875-P.none.1.100ms'], 'usIn': 1690204008782964, 'usOut': 1690204008783129, 'usDiff': 165, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1875-P.none.1.100ms', 'data': {'timestamp': 1690204008188, 'instrument_name': 'ETH-26JUL23-1875-P', 'change_id': 34499492466, 'bids': [[0.015, 110.0]], 'asks': [[0.017, 115.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1900-C.none.1.100ms'], 'usIn': 1690204008820939, 'usOut': 1690204008821034, 'usDiff': 95, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1900-C.none.1.100ms', 'data': {'timestamp': 1690204008190, 'instrument_name': 'ETH-26JUL23-1900-C', 'change_id': 34499491211, 'bids': [[0.0017, 3.0]], 'asks': [[0.002, 22.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1900-P.none.1.100ms'], 'usIn': 1690204008872997, 'usOut': 1690204008873098, 'usDiff': 101, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1900-P.none.1.100ms', 'data': {'timestamp': 1690204008184, 'instrument_name': 'ETH-26JUL23-1900-P', 'change_id': 34498479392, 'bids': [[0.005, 3.0]], 'asks': [[0.03, 1.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1925-C.none.1.100ms'], 'usIn': 1690204008926781, 'usOut': 1690204008926917, 'usDiff': 136, 'testnet': False}
